iter	Passed	Remaining
0	145	144959
1	145	72722
2	146	48674
3	147	36656
4	147	29413
5	148	24587
6	149	21141
7	149	18555
8	150	16545
9	150	14936
10	151	13620
11	152	12531
12	152	11601
13	153	10808
14	154	10127
15	154	9528
16	155	8999
17	156	8531
18	156	8105
19	157	7721
20	158	7375
21	158	7060
22	159	6773
23	160	6510
24	160	6266
25	161	6046
26	162	5839
27	162	5646
28	163	5470
29	164	5306
30	164	5152
31	165	5003
32	166	4866
33	166	4738
34	167	4615
35	168	4500
36	168	4390
37	169	4286
38	169	4188
39	170	4095
40	171	4005
41	171	3920
42	172	3838
43	173	3760
44	173	3685
45	174	3614
46	174	3545
47	175	3480
48	176	3419
49	176	3360
50	177	3302
51	178	3246
52	178	3192
53	179	3141
54	179	3091
55	180	3042
56	181	2996
57	181	2951
58	182	2907
59	182	2865
60	183	2824
61	184	2785
62	184	2747
63	185	2709
64	185	2673
65	186	2638
66	187	2604
67	187	2567
68	187	2535
69	188	2504
70	189	2474
71	189	2444
72	190	2415
73	190	2387
74	191	2361
75	192	2336
76	192	2310
77	193	2285
78	193	2261
79	194	2238
80	195	2214
81	195	2191
82	196	2169
83	196	2147
84	197	2124
85	197	2103
86	198	2081
87	198	2061
88	199	2042
89	200	2023
90	200	2005
91	201	1987
92	201	1969
93	202	1952
94	203	1935
95	203	1918
96	204	1902
97	204	1886
98	205	1871
99	206	1856
100	206	1842
101	207	1825
102	208	1812
103	208	1798
104	209	1784
105	209	1770
106	210	1756
107	211	1743
108	211	1730
109	212	1717
110	212	1704
111	213	1692
112	214	1680
113	214	1668
114	215	1656
115	215	1644
116	216	1633
117	217	1622
118	217	1610
119	218	1599
120	218	1588
121	219	1577
122	219	1565
123	220	1555
124	220	1545
125	221	1535
126	222	1526
127	222	1515
128	223	1507
129	223	1497
130	224	1489
131	225	1480
132	225	1471
133	226	1462
134	226	1454
135	227	1445
136	228	1437
137	228	1429
138	229	1421
139	230	1413
140	230	1405
141	231	1397
142	231	1390
143	232	1383
144	233	1375
145	234	1368
146	234	1362
147	235	1354
148	235	1347
149	236	1340
150	237	1333
151	237	1327
152	238	1320
153	239	1314
154	239	1307
155	240	1300
156	241	1294
157	241	1288
158	242	1281
159	243	1276
160	243	1270
161	244	1264
162	245	1258
163	245	1253
164	246	1247
165	247	1241
166	247	1235
167	248	1229
168	248	1223
169	249	1218
170	250	1212
171	250	1207
172	251	1201
